STATISTIC,Statistic Label,TLIST(A1),Year,C02480V03003,Subsequent Reoffence,UNIT,VALUE
PRA12C01,Re-offended within 1 year,2017,2017,1,Homicide offences,Number,1
PRA12C01,Re-offended within 1 year,2017,2017,2,Sexual offences,Number,8
PRA12C01,Re-offended within 1 year,2017,2017,3,"Attempts/threats to murder, assaults, harassments and related offences",Number,150
PRA12C01,Re-offended within 1 year,2017,2017,4,Dangerous or negligent acts,Number,44
PRA12C01,Re-offended within 1 year,2017,2017,5,Kidnapping and related offences,Number,4
PRA12C01,Re-offended within 1 year,2017,2017,6,"Robbery, extortion and hijacking offences",Number,26
PRA12C01,Re-offended within 1 year,2017,2017,7,Burglary and related offences,Number,124
PRA12C01,Re-offended within 1 year,2017,2017,8,Theft and related offences,Number,349
PRA12C01,Re-offended within 1 year,2017,2017,9,"Fraud, deception and related offences",Number,19
PRA12C01,Re-offended within 1 year,2017,2017,er,NaN,N1,
PRA12C01,Re-offended within 1 year,2017,2017,10,Controlled drug offences,Number,57
PRA12C01,Re-offended within 1 year,2017,2017,11,Weapons and Explosives Offences,Number,62
PRA12C01,Re-offended within 1 year,2017,2017,12,Damage to property and to the environment,Number,87
PRA12C01,Re-offended within 1 year,2017,2017,13,Public order and other social code offences,Number,101
,,,,NaN,,,rbsvd
PRA12C01,Re-offended within 1 year,2017,2017,14,Road and traffic offences (n.e.c.),Number,102
PRA12C01,Re-offended within 1 year,2017,2017,15,"Offences against government, justice procedures and organisation of crime",Number,83
wfes,sevcd,vesd,wevds,trhegdgn,,ehrher,erggr
PRA12C01,Re-offended within 1 year,2017,2017,16,Offences not elsewhere classified,Number,9
PRA12C01,Re-offended within 1 year,2017,2017,200,All offences,Number,1226
PRA12C01,Re-offended within 1 year,2018,2018,1,Homicide offences,Number,4
PRA12C01,Re-offended within 1 year,2018,2018,2,Sexual offences,Number,7
PRA12C01,Re-offended within 1 year,2018,2018,3,"Attempts/threats to murder, assaults, harassments and related offences",Number,161
PRA12C01,Re-offended within 1 year,2018,2018,4,Dangerous or negligent acts,Number,31
PRA12C01,Re-offended within 1 year,2018,2018,5,Kidnapping and related offences,Number,6
PRA12C01,Re-offended within 1 year,2018,2018,6,"Robbery, extortion and hijacking offences",Number,13
PRA12C01,Re-offended within 1 year,2018,2018,7,Burglary and related offences,Number,108
PRA12C01,Re-offended within 1 year,2018,2018,8,Theft and related offences,Number,351
PRA12C01,Re-offended within 1 year,2018,2018,9,"Fraud, deception and related offences",Number,17
PRA12C01,Re-offended within 1 year,2018,2018,10,Controlled drug offences,Number,73
