assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code_x,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,code_y,name,team_colour
0,1982-03-26,0,0,True,True,,,0,0.0,100051017,,,0,0,0,0,0.0,523,19,,,0,AM,5.5,5.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mikel,5.0,43,13,0,0.0,0,False,0.0,546,19,735,False,0.0,546,19,0,3,1,8,1,0,0,3,,,15,769,4,man51018,0,0,,0,,100051017.jpg,0.0,552,19,0,200.0,False,0,0.0,Arteta,6.9,264,5,False,,0,0.0,a,1,3,2019-12-22,0.0,481,19,35,106702,1222,70952,6067,3.3,23.3,Arteta,0,3,Arsenal,#ef0107
0,1971-11-03,0,0,True,True,,,0,0.0,100037568,,,0,0,0,0,0.0,510,6,,,0,AM,5.8,5.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unai,5.8,32,11,0,0.0,0,False,0.0,533,6,737,False,0.0,533,6,0,0,3,7,2,1,0,1,,,8,776,11,man37569,0,0,,0,,100037568.jpg,0.0,539,6,0,200.0,False,0,0.0,Emery,3.6,330,10,False,,0,0.0,a,2,7,2022-11-01,0.0,468,6,27,237863,829,191912,4480,7.2,33.8,Emery,0,7,Aston Villa,#7b003a
0,1982-06-22,0,0,True,True,,,0,0.0,100050427,,,0,0,0,0,0.0,518,14,,,0,AM,3.8,3.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andoni,3.3,102,16,0,0.0,0,False,0.0,541,14,738,False,0.0,541,14,0,1,0,9,3,0,0,2,,,11,774,9,man50428,0,0,,0,,100050427.jpg,0.0,547,14,0,200.0,False,0,0.0,Iraola,3.9,311,8,False,,0,0.0,a,3,91,2023-07-01,0.0,476,14,23,55619,891,72442,5754,3.0,20.9,Iraola,0,91,Bournemouth,#bf080a
0,1973-10-09,0,0,True,True,,,0,0.0,100042830,,,0,0,0,0,0.0,512,8,,,0,AM,8.3,8.3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Thomas,8.3,5,4,0,0.0,0,False,0.0,535,8,752,False,0.0,535,8,0,2,1,8,1,0,0,3,,,8,778,13,man42831,0,0,,0,,100042830.jpg,0.0,541,8,0,58.0,False,0,0.0,Frank,3.2,337,11,False,,0,0.0,a,4,94,2018-10-16,0.0,470,8,33,23885,760,16596,3994,10.4,41.2,Frank,0,94,Brentford,#e30613
0,1993-02-26,0,0,True,True,,,0,0.0,100053901,,,0,0,0,0,0.0,519,15,,,0,AM,13.7,13.2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fabian,13.7,2,2,0,0.0,0,False,0.0,542,15,739,False,0.0,542,15,0,2,0,9,2,0,1,3,,,11,775,10,man53902,0,0,,0,,100053901.jpg,0.0,548,15,0,80.0,False,0,0.0,Hürzeler,4.4,306,7,False,,0,0.0,a,5,36,2024-06-15,0.0,477,15,41,53238,1718,21164,3634,12.5,37.3,Hürzeler,0,36,Brighton,#005daa
0,1980-02-10,0,0,True,True,,,0,0.0,100048548,,,0,0,0,0,0.0,522,18,,,0,AM,5.7,6.2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Enzo,5.2,40,12,0,0.0,0,False,0.0,545,18,740,False,0.0,545,18,0,1,0,8,3,0,0,2,,,15,768,3,man48549,0,0,,0,,100048548.jpg,0.0,551,18,0,106.0,False,0,0.0,Maresca,9.6,234,3,False,,0,0.0,a,6,8,2024-06-03,0.0,480,18,22,61829,3698,13856,5744,3.5,14.7,Maresca,0,8,Chelsea,#034694
0,1974-08-28,0,0,True,True,,,0,0.0,100044409,,,0,0,0,0,0.0,513,9,,,0,AM,13.7,13.7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oliver,13.7,1,1,0,0.0,0,False,0.0,536,9,741,False,0.0,536,9,0,2,0,10,2,0,2,3,,,8,779,14,man44410,0,0,,0,,100044409.jpg,0.0,542,9,0,14.0,False,0,0.0,Glasner,8.7,238,4,False,,0,0.0,a,7,31,2024-02-20,0.0,471,9,52,154563,18280,8690,1976,17.1,65.0,Glasner,0,31,Crystal Palace,#292d6b
0,1963-04-25,0,0,True,True,,,0,0.0,100000084,,,0,0,0,0,0.0,505,1,,,0,AM,6.8,6.8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David,6.8,17,9,0,0.0,0,False,0.0,528,1,742,False,0.0,528,1,0,2,3,12,0,1,1,3,,,5,781,16,man85,0,0,,0,,100000084.jpg,0.0,534,1,0,243.0,False,0,0.0,Moyes,16.4,179,2,False,,0,0.0,a,8,11,2025-01-11,0.0,463,1,58,55669,4077,285910,7290,13.6,116.0,Moyes,0,11,Everton,#274488
0,1977-07-12,0,0,True,True,,,0,0.0,100041800,,,0,0,0,0,0.0,515,11,,,0,AM,8.7,8.7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marco Alexandre,8.7,4,3,0,0.0,0,False,0.0,538,11,753,False,0.0,538,11,0,0,0,6,2,0,2,3,,,11,771,6,man41801,0,0,,0,,100041800.jpg,0.0,544,11,0,173.0,False,0,0.0,Saraiva da Silva,1.8,419,15,False,,0,0.0,a,9,54,2021-07-01,0.0,473,11,44,13858,629,11606,1999,7.9,40.0,Silva,0,54,Fulham,#e5cbcb
0,1986-05-14,0,0,True,True,,,0,0.0,100047417,,,0,0,0,0,0.0,508,4,,,0,AM,4.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kieran,4.0,80,15,0,0.0,0,False,0.0,531,4,743,False,0.0,531,4,0,0,1,6,4,1,0,0,,,5,784,19,man47418,0,0,,0,,100047417.jpg,0.0,537,4,0,242.0,False,0,0.0,McKenna,0.3,639,18,False,,0,0.0,a,10,40,2021-12-16,0.0,466,4,14,25131,128,7219,362,8.0,28.0,McKenna,0,40,Ipswich,#3a64a3
