assists,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,False,True,0,0,0.0,0.0,438098.0,,,0.0,0.0,-1,1.0,0.0,713.0,317.0,,,0.0,3.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fábio,0.0,704.0,311.0,0.0,0.0,0.0,0.0,715.0,318.0,1.0,False,0.0,715.0,318.0,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54.0,132.0,80.0,0.0,0.0,,0,,438098.jpg,0.0,715.0,318.0,0.0,,False,0.0,0.0,Ferreira Vieira,0.0,657.0,284.0,False,,0.0,0.0,u,1,3.0,,0.0,712.0,316.0,0.0,439.0,0.0,2792.0,3.0,0.0,0.0,Fábio Vieira,0.0
2,6,152,True,True,0,0,2.0,0.3,205651.0,,,-2.0,2.0,-3,3.0,119.5,192.0,24.0,,,2.0,4.0,0.0,0.0,0.0,0.52,0.08,3.57,0.54,3.05,5.82,0.87,0.46,Gabriel,6.4,15.0,3.0,5.0,0.75,3.0,52.6,167.0,24.0,2.0,False,154.4,247.0,23.0,600,Knee injury - Unknown return date,2025-01-12T22:00:07.802845Z,67.0,36.0,18.0,0.0,0.0,,0,,205651.jpg,2.5,195.0,25.0,0.0,30.0,False,0.0,0.0,Fernando de Jesus,2.7,115.0,18.0,False,,6.0,0.9,i,1,3.0,2022-07-04,255.0,72.0,24.0,42.0,1237139.0,231.0,1222936.0,261503.0,1.0,6.3,G.Jesus,4.0
2,7,305,True,True,100,100,6.0,0.33,226597.0,,,0.0,0.0,4,-4.0,133.9,181.0,41.0,,,2.0,2.0,3.5,3.0,1.0,0.93,0.05,3.38,0.19,2.45,16.93,0.94,0.14,Gabriel,3.0,105.0,31.0,17.0,0.94,3.0,82.5,85.0,13.0,3.0,False,434.4,45.0,14.0,1628,,2024-11-27T10:30:06.325759Z,64.0,49.0,3.0,0.0,0.0,,0,,226597.jpg,4.4,34.0,4.0,0.0,30.0,False,0.0,0.0,dos Santos Magalhães,28.9,8.0,1.0,False,,19.0,1.05,a,1,3.0,2020-09-01,256.0,71.0,3.0,84.0,3987640.0,64197.0,2401320.0,77864.0,0.5,13.1,Gabriel,3.0
2,10,275,True,True,100,100,6.0,0.34,219847.0,,,0.0,0.0,-2,2.0,223.5,108.0,10.0,,,1.0,4.0,3.3,2.8,1.0,1.35,0.08,9.52,0.55,8.17,16.41,0.94,0.47,Kai,2.8,117.0,16.0,17.0,0.97,7.0,120.2,27.0,6.0,4.0,False,372.2,74.0,10.0,1570,,2025-01-02T08:00:08.350130Z,78.0,13.0,5.0,0.0,0.0,3.0,0,,219847.jpg,4.2,44.0,12.0,0.0,80.0,False,0.0,0.0,Havertz,7.9,44.0,12.0,False,,18.0,1.03,a,1,3.0,2023-06-28,606.0,12.0,6.0,75.0,2450892.0,10355.0,3147649.0,53242.0,0.4,9.6,Havertz,4.0
0,0,0,False,True,0,0,0.0,0.0,463748.0,,,0.0,0.0,0,0.0,0.0,514.0,43.0,,,0.0,1.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Karl,0.0,448.0,53.0,0.0,0.0,0.0,0.0,535.0,63.0,5.0,False,0.0,536.0,63.0,0,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40.0,641.0,58.0,0.0,0.0,,0,,463748.jpg,0.0,540.0,63.0,0.0,,False,0.0,0.0,Hein,0.0,575.0,69.0,False,,0.0,0.0,u,1,3.0,,0.0,478.0,30.0,0.0,0.0,0.0,4349.0,19.0,0.0,0.0,Hein,0.0
1,5,245,True,True,100,100,6.0,0.36,445122.0,,,0.0,0.0,2,-2.0,212.0,118.0,24.0,,,2.0,2.0,3.1,2.6,2.0,0.98,0.06,1.69,0.1,0.71,12.92,0.78,0.04,Jurriën,2.6,123.0,39.0,13.0,0.79,1.0,62.8,133.0,31.0,6.0,False,246.2,171.0,64.0,1485,,2025-01-12T22:00:07.815228Z,57.0,94.0,9.0,0.0,0.0,,0,,445122.jpg,3.7,70.0,14.0,0.0,152.0,False,0.0,0.0,Timber,5.0,73.0,26.0,False,,17.0,1.03,a,1,3.0,2023-07-14,172.0,119.0,10.0,66.0,1173081.0,9493.0,759430.0,35728.0,0.5,11.6,J.Timber,5.0
0,0,82,True,True,100,100,1.0,0.2,85955.0,,,0.0,0.0,-3,3.0,64.7,270.0,168.0,,,0.0,3.0,1.1,0.6,0.0,0.47,0.09,0.51,0.1,0.04,4.27,0.84,0.01,Jorge Luiz,0.6,312.0,156.0,5.0,0.99,0.0,10.4,378.0,184.0,7.0,False,35.8,391.0,179.0,456,,2025-01-12T22:00:07.826638Z,47.0,325.0,209.0,0.0,0.0,,0,,85955.jpg,1.3,366.0,171.0,0.0,106.0,False,0.0,0.0,Frello Filho,0.2,332.0,105.0,False,,6.0,1.18,a,1,3.0,2023-01-31,3.0,409.0,217.0,13.0,27764.0,387.0,44522.0,574.0,0.1,2.8,Jorginho,3.0
0,0,39,True,True,,,1.0,0.28,440854.0,,,0.0,0.0,-2,2.0,13.7,383.0,132.0,,,0.0,2.0,0.5,0.0,0.0,0.03,0.01,0.03,0.01,0.0,4.45,1.24,0.0,Jakub,0.0,653.0,241.0,5.0,1.39,0.0,6.3,405.0,135.0,8.0,False,49.2,372.0,130.0,323,,,48.0,311.0,38.0,0.0,0.0,,0,,440854.jpg,1.6,329.0,114.0,0.0,172.0,False,0.0,0.0,Kiwior,0.2,370.0,131.0,False,,2.0,0.56,a,1,3.0,2023-01-23,0.0,673.0,245.0,13.0,24522.0,137.0,33938.0,534.0,0.0,2.7,Kiwior,0.0
2,6,240,True,True,100,100,6.0,0.45,444145.0,,,-1.0,1.0,-3,3.0,316.6,63.0,49.0,,,1.0,3.0,4.7,4.2,1.0,2.74,0.21,6.14,0.47,3.4,12.24,0.92,0.26,Gabriel,4.2,53.0,23.0,12.0,0.9,5.0,110.4,43.0,29.0,9.0,False,327.0,107.0,39.0,1195,,2024-10-18T16:00:06.884775Z,67.0,38.0,19.0,0.0,0.0,,0,,444145.jpg,3.9,57.0,25.0,0.0,30.0,False,0.0,0.0,Martinelli Silva,3.8,93.0,31.0,False,,13.0,0.98,a,1,3.0,2019-07-15,461.0,29.0,16.0,74.0,1048711.0,7254.0,986570.0,71569.0,0.6,11.0,Martinelli,1.0
0,1,84,True,True,0,0,0.0,0.0,499175.0,,,0.0,0.0,0,0.0,66.8,265.0,164.0,,,0.0,3.0,0.0,0.0,0.0,0.41,0.16,0.71,0.28,0.3,1.59,0.62,0.12,Ethan,1.8,189.0,84.0,1.0,0.39,2.0,23.3,304.0,156.0,12.0,False,97.0,320.0,148.0,230,Muscle injury - Unknown return date,2025-01-04T22:00:06.872110Z,45.0,420.0,259.0,0.0,0.0,,0,,499175.jpg,1.9,274.0,118.0,0.0,241.0,False,0.0,0.0,Nwaneri,0.4,270.0,84.0,False,,2.0,0.78,i,1,3.0,2022-09-17,69.0,238.0,135.0,23.0,114620.0,292.0,94905.0,8160.0,0.4,5.1,Nwaneri,1.0
